BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
54:B8:0A:0F:97:A6, 2018-02-04 13:12:50, 2018-02-04 13:22:46,9,-1, WPA, ,   ,-1,0,174,   0.  0.  0.  0,0, , 
00:22:7F:65:97:39, 2018-02-04 13:22:51, 2018-02-04 13:22:51,10,54, WPA2, CCMP, MGT,-87,2,0,   0.  0.  0.  0,0, , 
10:62:EB:1F:B9:1D, 2018-02-04 13:36:14, 2018-02-04 13:36:37,1,54, WPA2, CCMP,PSK,-90,2,0,   0.  0.  0.  0,7, Hola :D, 
A0:AB:1B:D6:E6:B1, 2018-02-04 13:24:27, 2018-02-04 13:34:51,11,54, WPA2, CCMP,PSK,-91,45,3,   0.  0.  0.  0,14, D-Link_DIR-615, 
00:1E:A6:AF:D4:94, 2018-02-04 13:27:07, 2018-02-04 13:34:16,1,54, WPA2, CCMP TKIP,PSK,-90,11,0,   0.  0.  0.  0,31, iBall-Baton_EXT_EXT_EXT_EXT_EXT, 
00:22:7F:66:6F:F9, 2018-02-04 13:34:01, 2018-02-04 13:34:01,5,-1, WPA, ,   ,-1,0,1,   0.  0.  0.  0,0, , 
C8:3A:35:2D:17:98, 2018-02-04 13:24:17, 2018-02-04 13:32:25,9,54, WPA, CCMP,PSK,-89,3,0,   0.  0.  0.  0,11, Bad debts43, 
C4:E9:84:29:04:D8, 2018-02-04 13:24:15, 2018-02-04 13:32:13,7,54, WPA2 WPA, CCMP,PSK,-90,3,0,   0.  0.  0.  0,6, Heaven, 
AC:C1:EE:A5:CD:57, 2018-02-04 13:25:45, 2018-02-04 13:26:53,6,54, OPN, ,   ,-91,2,32, 192.168. 43. 57,5, Redmi, 
1C:56:FE:0D:B7:3F, 2018-02-04 13:25:45, 2018-02-04 13:25:45,6,-1, , ,   ,-90,0,0,   0.  0.  0.  0,0, , 
BE:2F:3D:1C:E8:38, 2018-02-04 13:24:55, 2018-02-04 13:25:59,6,54, WPA2, CCMP,PSK,-88,3,0,   0.  0.  0.  0,9, vivo 1601, 
A8:6B:AD:05:81:79, 2018-02-04 13:26:43, 2018-02-04 13:29:36,5,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
C8:3A:35:0F:49:C8, 2018-02-04 13:32:00, 2018-02-04 13:32:00,7,54, WPA, CCMP,PSK,-90,1,0,   0.  0.  0.  0,12, Tenda_0F49C8, 
02:1E:A6:B0:7F:F8, 2018-02-04 13:31:59, 2018-02-04 13:32:00,1,54, WPA2, CCMP,PSK,-89,2,0,   0.  0.  0.  0,14," "" iBall-Baton_1""", 
00:1E:A6:B0:7F:F8, 2018-02-04 13:31:59, 2018-02-04 13:31:59,1,54, WPA2, CCMP TKIP,PSK,-87,2,0,   0.  0.  0.  0,13, vedashree_EXT, 
88:79:7E:74:C9:0D, 2018-02-04 13:27:35, 2018-02-04 13:32:09,1,54, WPA2, CCMP,PSK,-91,4,1,   0.  0.  0.  0,15, Moto G (4) 2249, 
00:22:7F:65:97:39, 2018-02-04 13:32:11, 2018-02-04 13:32:11,10,54, WPA2, CCMP, MGT,-87,1,0,   0.  0.  0.  0,0, , 
00:1E:A6:4F:AA:28, 2018-02-04 13:26:36, 2018-02-04 13:33:45,7,54, WPA2 WPA, CCMP TKIP,PSK,-92,17,0,   0.  0.  0.  0,11, iBall-Baton, 
00:22:7F:25:97:39, 2018-02-04 13:34:01, 2018-02-04 13:35:09,10,54, WPA2, CCMP, MGT,-87,2,0,   0.  0.  0.  0,0, , 
00:1E:A6:77:D6:A0, 2018-02-04 13:24:20, 2018-02-04 13:36:47,2,54, WPA2, CCMP TKIP,PSK,-92,168,2,   0.  0.  0.  0,11, iBall-Baton, 
78:11:DC:18:75:4E, 2018-02-04 13:24:16, 2018-02-04 13:36:57,3,54, WPA2, CCMP TKIP,PSK,-91,18,3,   0.  0.  0.  0,9, Mandar MI, 
00:1E:A6:15:F6:9E, 2018-02-04 13:24:23, 2018-02-04 13:36:59,6,54, WPA2 WPA, CCMP,PSK,-91,133,0,   0.  0.  0.  0,11, iBall-Baton, 
C8:3A:35:09:2E:30, 2018-02-04 13:24:23, 2018-02-04 13:36:59,6,54, WPA, CCMP,PSK,-90,69,0,   0.  0.  0.  0,12, Tenda_092E30, 
C8:3A:35:54:23:40, 2018-02-04 13:24:19, 2018-02-04 13:36:46,1,54, WPA, CCMP,PSK,-90,226,2,   0.  0.  0.  0,12, Tenda_542340, 
00:1E:A6:33:46:60, 2018-02-04 13:25:41, 2018-02-04 13:36:55,1,54, WPA, CCMP,PSK,-90,14,0,   0.  0.  0.  0,11, iBall-Baton, 
78:11:DC:34:DA:F0, 2018-02-04 13:24:15, 2018-02-04 13:37:00,1,54, WPA2, CCMP TKIP,PSK,-89,3,0,   0.  0.  0.  0,0, , 
C8:3A:35:46:AB:F0, 2018-02-04 13:24:16, 2018-02-04 13:37:01,2,54, WPA, CCMP,PSK,-89,9,0,   0.  0.  0.  0,12, Tenda_46ABF0, 
DC:1A:C5:69:B7:DF, 2018-02-04 13:24:23, 2018-02-04 13:36:54,6,54, WPA2, CCMP,PSK,-89,12,12,   0.  0.  0.  0,6, Aarohi, 
00:1E:A6:AE:13:BE, 2018-02-04 13:25:23, 2018-02-04 13:37:00,7,54, WPA2 WPA, CCMP TKIP,PSK,-89,20,0,   0.  0.  0.  0,4, Yash, 
